2021-07-20 21:19:36,014 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-07-20 21:19:37,988 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=13472&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D13472%26register.ip%3D192.168.1.102%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1626787177734&timestamp=1626787177785, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-20 21:19:38,011 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-20 21:19:38,012 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.102?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-20 21:19:39,081 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:07,859 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-07-24 15:12:09,690 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=7484&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D7484%26register.ip%3D192.168.1.102%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1627110729479&timestamp=1627110729509, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:09,710 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:09,712 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.102?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:09,767 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:09,789 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, urls: [dubbo://192.168.1.102:7070/com.alibaba.dubbo.monitor.MonitorService?anyhost=true&application=simple-monitor&delay=-1&dubbo=2.6.0&generic=false&interface=com.alibaba.dubbo.monitor.MonitorService&methods=lookup,collect&owner=dubbo&pid=14216&revision=2.6.0&side=provider&timestamp=1627110702633, empty://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, empty://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*, empty://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=*], dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:10,834 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:40,075 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,578 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,702 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/skin.css, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,702 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/common.css, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,702 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/ajax.js, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,702 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/trcolor.js, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,702 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/box.js, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,702 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/dubbo.css, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,752 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/dubbo.js, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,752 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/jquery.simplemodal-1.4.js, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,752 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/jquery-1.4.2.min.js, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,781 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/pop_close.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,791 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/logo.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,805 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_show.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,805 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_user.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,807 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/exit.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,814 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_btn.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,814 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/head_bg.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,815 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/ico_help.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,820 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_bg.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,823 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_btn_bg22.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,873 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/main_bg.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,873 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/nav_btn_bg44.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,879 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/input.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,879 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_active.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,881 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /images/search_input.png, dubbo version: 2.6.2, current host: 192.168.1.102
2021-07-24 15:12:41,993 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.1.102
2021-08-01 16:38:16,291 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-08-01 16:38:18,127 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\ï¿½ï¿½ï¿½îº½\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/com.alibaba.dubbo.monitor.MonitorService:*=empty://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* empty://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* empty://192.168.1.102/com.alibaba.dubbo.monitor.MonitorService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.alibaba.dubbo.monitor.MonitorService&version=* dubbo://192.168.1.102:7070/com.alibaba.dubbo.monitor.MonitorService?anyhost=true&application=simple-monitor&delay=-1&dubbo=2.6.0&generic=false&interface=com.alibaba.dubbo.monitor.MonitorService&methods=lookup,collect&owner=dubbo&pid=14216&revision=2.6.0&side=provider&timestamp=1627110702633}, dubbo version: 2.6.2, current host: 192.168.1.102
2021-08-01 16:38:18,298 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=6460&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D6460%26register.ip%3D192.168.1.102%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1627807098061&timestamp=1627807098097, dubbo version: 2.6.2, current host: 192.168.1.102
