2021-08-01 16:38:27,973 [main] INFO  org.apache.curator.framework.imps.CuratorFrameworkImpl (CuratorFrameworkImpl.java:235) - Starting
2021-08-01 16:38:27,984 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT
2021-08-01 16:38:27,984 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:host.name=192.168.1.102
2021-08-01 16:38:27,984 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.version=1.8.0_251
2021-08-01 16:38:27,985 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.vendor=Oracle Corporation
2021-08-01 16:38:27,985 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.home=D:\Application\Java\jre1.8.0_251
2021-08-01 16:38:27,985 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.class.path=..\conf;;..\lib\commons-logging-1.2.jar;..\lib\curator-client-2.12.0.jar;..\lib\curator-framework-2.12.0.jar;..\lib\dubbo-2.6.0.jar;..\lib\dubbo-monitor-simple-2.0.0.jar;..\lib\fastjson-1.2.31.jar;..\lib\guava-16.0.1.jar;..\lib\javassist-3.20.0-GA.jar;..\lib\javax.servlet-api-3.1.0.jar;..\lib\jcommon-1.0.16.jar;..\lib\jetty-6.1.26.jar;..\lib\jetty-util-6.1.26.jar;..\lib\jfreechart-1.0.13.jar;..\lib\jline-0.9.94.jar;..\lib\log4j-1.2.16.jar;..\lib\netty-3.2.5.Final.jar;..\lib\netty-3.7.0.Final.jar;..\lib\slf4j-api-1.7.25.jar;..\lib\slf4j-log4j12-1.7.25.jar;..\lib\spring-aop-4.3.10.RELEASE.jar;..\lib\spring-beans-4.3.10.RELEASE.jar;..\lib\spring-context-4.3.10.RELEASE.jar;..\lib\spring-core-4.3.10.RELEASE.jar;..\lib\spring-expression-4.3.10.RELEASE.jar;..\lib\spring-web-4.3.10.RELEASE.jar;..\lib\zookeeper-3.4.8.jar
2021-08-01 16:38:27,985 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.library.path=C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\Application\Git\cmd;D:\Application\nodejs\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;D:\Application\Java\jdk1.8.0_251\bin;D:\Application\Java\jdk1.8.0_251\jre\bin;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\¹ùÓîº½\AppData\Local\Microsoft\WindowsApps;D:\Application\Microsoft VS Code\bin;C:\Users\¹ùÓîº½\AppData\Roaming\npm;.
2021-08-01 16:38:27,985 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.io.tmpdir=C:\Users\¹ùÓîº½\AppData\Local\Temp\
2021-08-01 16:38:27,985 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:java.compiler=<NA>
2021-08-01 16:38:27,986 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.name=Windows 10
2021-08-01 16:38:27,986 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.arch=amd64
2021-08-01 16:38:27,986 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:os.version=10.0
2021-08-01 16:38:27,986 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:user.name=¹ùÓîº½
2021-08-01 16:38:27,986 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:user.home=C:\Users\¹ùÓîº½
2021-08-01 16:38:27,989 [main] INFO  org.apache.zookeeper.Environment (Environment.java:100) - Client environment:user.dir=D:\Programming\learn-dubbo\dubbo-monitor-simple-2.0.0\assembly.bin
2021-08-01 16:38:27,989 [main] INFO  org.apache.zookeeper.ZooKeeper (ZooKeeper.java:438) - Initiating client connection, connectString=127.0.0.1:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@3ba987b8
2021-08-01 16:38:28,005 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn$SendThread (ClientCnxn.java:1032) - Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2021-08-01 16:38:28,006 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn$SendThread (ClientCnxn.java:876) - Socket connection established to 127.0.0.1/127.0.0.1:2181, initiating session
2021-08-01 16:38:28,015 [main-SendThread(127.0.0.1:2181)] INFO  org.apache.zookeeper.ClientCnxn$SendThread (ClientCnxn.java:1299) - Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x1001d911cac0001, negotiated timeout = 40000
